,filename,label,labels_crops
0,/media/train_hdd4/tarun/dali/testdata/topstyle/sweaters/fe87a15e85f85e80285e616bd7a0887c7f87da9e81783da1ca57c1f29ca0381e768X512.jpg,sweaters,"[177, 612, 1890, 2532]"
1,/media/train_hdd4/tarun/dali/testdata/topstyle/sweaters/fe87a15e85f85e80285e616bd7a0887c7f87da9e81783da1ca57c1f29ca0381e768X512.jpg,sweaters,"[177, 612, 1890, 2532]"
2,/media/train_hdd4/tarun/dali/testdata/topstyle/tshirts/bcb31b6dc3ccc6923c5b696c61b19391ce1bc0c29c6c2c2c7961e3f3349a9b0f768X512.jpg,tshirts,"[339, 768, 1728, 2355]"
3,/media/train_hdd4/tarun/dali/testdata/topstyle/tshirts/bcb31b6dc3ccc6923c5b696c61b19391ce1bc0c29c6c2c2c7961e3f3349a9b0f768X512.jpg,tshirts,"[339, 768, 1728, 2355]"
4,/media/train_hdd4/tarun/dali/testdata/topstyle/tank_tops/f1e59ac69e1a653961e19b8618c69e6cc36965919c9e9b4b69659634319b69ca768X512.jpg,tank_tops,"[494, 834, 1536, 2222]"
5,/media/train_hdd4/tarun/dali/testdata/topstyle/tank_tops/f1e59ac69e1a653961e19b8618c69e6cc36965919c9e9b4b69659634319b69ca768X512.jpg,tank_tops,"[494, 834, 1536, 2222]"
6,/media/train_hdd4/tarun/dali/testdata/topstyle/sweaters/a6c6a7461a659a630d96b99919999d92c998366de3472c66cd83366ce7c63396768X512.jpg,sweaters,"[642, 649, 1440, 1410]"
7,/media/train_hdd4/tarun/dali/testdata/topstyle/tank_tops/f9b996c6c6466939319996c66c637b39968c64c66993926569646d9a969e3269768X512.jpg,tank_tops,"[413, 915, 1691, 2089]"
8,/media/train_hdd4/tarun/dali/testdata/topstyle/tank_tops/f9b996c6c6466939319996c66c637b39968c64c66993926569646d9a969e3269768X512.jpg,tank_tops,"[413, 915, 1691, 2089]"
9,/media/train_hdd4/tarun/dali/testdata/topstyle/sweatshirt/eba7b155d4784bab2a55f42845a621d5de00cf5ea86dd6a007d6210776b887de768X512.jpg,sweatshirt,"[51, 753, 1956, 2274]"
10,/media/train_hdd4/tarun/dali/testdata/topstyle/blouses/b4f0c30dcb0f3cb034b0c30dc3cf3cf3cf30343c30dec3c3cb633c3ccf0cc3c3768X512.jpg,blouses,"[450, 635, 1484, 1956]"
11,/media/train_hdd4/tarun/dali/testdata/topstyle/blouses/b4f0c30dcb0f3cb034b0c30dc3cf3cf3cf30343c30dec3c3cb633c3ccf0cc3c3768X512.jpg,blouses,"[450, 635, 1484, 1956]"
12,/media/train_hdd4/tarun/dali/testdata/topstyle/blouses/bcc79cb1c3b8630e3c0f9cf9c3f123069e1ce47c31c38fb1c4ba734e1b2c24b1768X512.jpg,blouses,"[206, 1063, 1824, 2067]"
13,/media/train_hdd4/tarun/dali/testdata/topstyle/sweaters/afe9f001c2b70fde3c02d0af2bf56500c68b3e3df6708b63392741b6c98e349c768X512.jpg,sweaters,"[88, 576, 1964, 2584]"
14,/media/train_hdd4/tarun/dali/testdata/topstyle/sweaters/afe9f001c2b70fde3c02d0af2bf56500c68b3e3df6708b63392741b6c98e349c768X512.jpg,sweaters,"[88, 576, 1964, 2584]"
15,/media/train_hdd4/tarun/dali/testdata/topstyle/tshirts/bef8b40dc1fd4bf02d03dd3f2cf4341053d2634b372dcb1cec041db4c9126ce3768X512.jpg,tshirts,"[0, 553, 2048, 2532]"
16,/media/train_hdd4/tarun/dali/testdata/topstyle/shirts/bf33f133c1e30ec6cc4c8c6c33b071333333733bcccc8ccccccca58433337333768X512.jpg,shirts,"[169, 620, 1905, 2473]"
17,/media/train_hdd4/tarun/dali/testdata/topstyle/blouses/ec6c91f992936e066c39b1f97126cc8796cc1a38c9b367c366643cf9398cb384768X512.jpg,blouses,"[295, 723, 1809, 2370]"
18,/media/train_hdd4/tarun/dali/testdata/topstyle/blouses/bd07b4bcc2f04b433d2fb4bc63d4345ac2cb4b859c3cca7025a6b47a62d3258f768X512.jpg,blouses,"[206, 745, 1853, 2311]"
19,/media/train_hdd4/tarun/dali/testdata/topstyle/blouses/bd07b4bcc2f04b433d2fb4bc63d4345ac2cb4b859c3cca7025a6b47a62d3258f768X512.jpg,blouses,"[206, 745, 1853, 2311]"
20,/media/train_hdd4/tarun/dali/testdata/topstyle/blouses/bd07b4bcc2f04b433d2fb4bc63d4345ac2cb4b859c3cca7025a6b47a62d3258f768X512.jpg,blouses,"[206, 745, 1853, 2311]"
21,/media/train_hdd4/tarun/dali/testdata/topstyle/blouses/bd07b4bcc2f04b433d2fb4bc63d4345ac2cb4b859c3cca7025a6b47a62d3258f768X512.jpg,blouses,"[206, 745, 1853, 2311]"
22,/media/train_hdd4/tarun/dali/testdata/topstyle/blouses/bd07b4bcc2f04b433d2fb4bc63d4345ac2cb4b859c3cca7025a6b47a62d3258f768X512.jpg,blouses,"[206, 745, 1853, 2311]"
23,/media/train_hdd4/tarun/dali/testdata/topstyle/blouses/b4d39a4ecf2c65b130d09a4e4d93cb33346431b09bc9cccf3932933664cdcf99768X512.jpg,blouses,"[539, 716, 1491, 2333]"
24,/media/train_hdd4/tarun/dali/testdata/topstyle/blouses/b38eb36dcc314c9336c3934cc31c64339cf3cd9c664d31667192c67998676996768X512.jpg,blouses,"[605, 871, 1440, 2119]"
